Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_45_324,VDD,Metal1,188.7200,192.0800,4.999999
FILLER_45_308,VDD,Metal1,184.2880,192.7720,4.999999
FILLER_45_274,VDD,Metal1,169.7955,192.8485,4.999999
FILLER_45_240,VDD,Metal1,150.7555,192.8485,4.999998
FILLER_45_206,VDD,Metal1,131.7155,192.8485,4.999998
FILLER_45_172,VDD,Metal1,112.6755,192.8485,4.999998
FILLER_45_169,VDD,Metal1,101.6400,192.0800,4.999998
FILLER_45_152,VDD,Metal1,92.1200,192.0800,4.999998
FILLER_45_150,VDD,Metal1,91.2800,192.0800,4.999998
FILLER_45_146,VDD,Metal1,89.9800,192.5125,4.999998
FILLER_45_138,VDD,Metal1,86.7465,192.6565,4.999998
FILLER_45_104,VDD,Metal1,74.5955,192.8485,4.999998
FILLER_45_70,VDD,Metal1,55.5555,192.8485,4.999998
FILLER_45_36,VDD,Metal1,36.5155,192.8485,4.999998
FILLER_45_2,VDD,Metal1,17.4755,192.8485,4.999998
FILLER_44_325,VDD,Metal1,189.0000,192.0800,4.999999
FILLER_44_317,VDD,Metal1,186.9865,191.5030,4.999999
FILLER_44_313,VDD,Metal1,182.5600,192.0800,4.999999
FILLER_44_305,VDD,Metal1,180.2665,191.5030,4.999999
FILLER_44_273,VDD,Metal1,169.2355,191.3110,4.999999
FILLER_44_259,VDD,Metal1,152.3200,192.0800,4.999998
FILLER_44_255,VDD,Metal1,151.0200,191.6475,4.999998
FILLER_44_247,VDD,Metal1,147.7865,191.5030,4.999998
FILLER_44_241,VDD,Metal1,143.1800,191.6475,4.999998
FILLER_44_177,VDD,Metal1,124.4750,191.2655,4.999998
FILLER_44_171,VDD,Metal1,103.9800,191.6475,4.999998
FILLER_44_163,VDD,Metal1,100.7465,191.5030,4.999998
FILLER_44_133,VDD,Metal1,81.4800,192.0800,4.999998
FILLER_44_131,VDD,Metal1,80.6400,192.0800,4.999998
FILLER_44_123,VDD,Metal1,78.3465,191.5030,4.999998
FILLER_44_107,VDD,Metal1,71.7280,191.3880,4.999998
FILLER_44_103,VDD,Metal1,64.9600,192.0800,4.999998
FILLER_44_99,VDD,Metal1,63.6600,191.6475,4.999998
FILLER_44_91,VDD,Metal1,60.4265,191.5030,4.999998
FILLER_44_85,VDD,Metal1,54.6000,192.0800,4.999998
FILLER_44_53,VDD,Metal1,46.0355,191.3110,4.999998
FILLER_44_18,VDD,Metal1,17.0800,192.0800,4.999998
FILLER_44_2,VDD,Metal1,12.9280,191.3880,4.999998
FILLER_43_325,VDD,Metal1,189.0000,184.2400,4.999986
FILLER_43_321,VDD,Metal1,187.9800,184.6725,4.999986
FILLER_43_290,VDD,Metal1,169.6800,184.2400,4.999986
FILLER_43_282,VDD,Metal1,167.3865,184.8165,4.999986
FILLER_43_250,VDD,Metal1,147.0000,184.2400,4.999985
FILLER_43_242,VDD,Metal1,144.9865,184.8165,4.999985
FILLER_43_212,VDD,Metal1,125.7200,184.2400,4.999984
FILLER_43_209,VDD,Metal1,124.0400,184.2400,4.999978
FILLER_43_207,VDD,Metal1,123.2000,184.2400,4.999978
FILLER_43_199,VDD,Metal1,120.9065,184.8165,4.999978
FILLER_43_154,VDD,Metal1,93.2400,184.2400,4.999978
FILLER_43_150,VDD,Metal1,92.2200,184.6725,4.999978
FILLER_43_142,VDD,Metal1,88.9865,184.8165,4.999978
FILLER_43_136,VDD,Metal1,84.3800,184.6725,4.999977
FILLER_43_128,VDD,Metal1,81.1465,184.8165,4.999977
FILLER_43_82,VDD,Metal1,52.9200,184.2400,4.999977
FILLER_43_80,VDD,Metal1,52.0800,184.2400,4.999977
FILLER_43_72,VDD,Metal1,49.7865,184.8165,4.999977
FILLER_43_65,VDD,Metal1,43.4000,184.2400,4.999977
FILLER_43_57,VDD,Metal1,41.3865,184.8165,4.999977
FILLER_42_325,VDD,Metal1,189.0000,184.2400,4.999986
FILLER_42_317,VDD,Metal1,186.9865,183.6630,4.999986
FILLER_42_307,VDD,Metal1,181.3865,183.6630,4.999986
FILLER_42_298,VDD,Metal1,173.8800,184.2400,4.999986
FILLER_42_296,VDD,Metal1,173.0400,184.2400,4.999986
FILLER_42_280,VDD,Metal1,168.6080,183.5480,4.999986
FILLER_42_263,VDD,Metal1,154.2800,184.2400,4.999985
FILLER_42_247,VDD,Metal1,150.1280,183.5480,4.999985
FILLER_42_244,VDD,Metal1,143.6400,184.2400,4.999984
FILLER_42_220,VDD,Metal1,130.4800,184.2400,4.999984
FILLER_42_216,VDD,Metal1,129.1800,183.8075,4.999984
FILLER_42_208,VDD,Metal1,125.9465,183.6630,4.999984
FILLER_42_192,VDD,Metal1,119.3280,183.5480,4.999978
FILLER_42_145,VDD,Metal1,88.2000,184.2400,4.999978
FILLER_42_141,VDD,Metal1,87.1800,183.8075,4.999978
FILLER_42_104,VDD,Metal1,65.2400,184.2400,4.999977
FILLER_42_96,VDD,Metal1,63.2265,183.6630,4.999977
FILLER_42_78,VDD,Metal1,53.1465,183.6630,4.999977
FILLER_42_37,VDD,Metal1,28.0000,184.2400,4.999978
FILLER_42_34,VDD,Metal1,26.0400,184.2400,4.999979
FILLER_42_32,VDD,Metal1,25.2000,184.2400,4.999979
FILLER_42_22,VDD,Metal1,19.6000,184.2400,4.999979
FILLER_42_18,VDD,Metal1,18.3000,183.8075,4.999979
FILLER_41_325,VDD,Metal1,189.0000,176.4000,4.999989
FILLER_41_323,VDD,Metal1,188.1600,176.4000,4.999989
FILLER_41_319,VDD,Metal1,186.8600,176.8325,4.999989
FILLER_41_311,VDD,Metal1,183.6265,176.9765,4.999989
FILLER_41_290,VDD,Metal1,169.4000,176.4000,4.999988
FILLER_41_282,VDD,Metal1,167.3865,176.9765,4.999988
FILLER_41_279,VDD,Metal1,163.2400,176.4000,4.999987
FILLER_41_277,VDD,Metal1,162.4000,176.4000,4.999987
FILLER_41_273,VDD,Metal1,161.1000,176.8325,4.999987
FILLER_41_254,VDD,Metal1,149.2400,176.4000,4.999987
FILLER_41_246,VDD,Metal1,147.2265,176.9765,4.999985
FILLER_41_224,VDD,Metal1,132.7200,176.4000,4.999985
FILLER_41_220,VDD,Metal1,131.4200,176.8325,4.999985
FILLER_41_212,VDD,Metal1,128.1865,176.9765,4.999985
FILLER_41_208,VDD,Metal1,123.7600,176.4000,4.999984
FILLER_41_192,VDD,Metal1,119.3280,177.0920,4.999984
