Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_45_324,VSS,Metal1,188.7200,196.0000,0.000000
FILLER_45_308,VSS,Metal1,183.0720,195.4520,0.000000
FILLER_45_274,VSS,Metal1,168.4440,195.4020,0.000000
FILLER_45_240,VSS,Metal1,149.4040,195.4020,0.000000
FILLER_45_206,VSS,Metal1,130.3640,195.4020,0.000000
FILLER_45_172,VSS,Metal1,111.3240,195.4020,0.000000
FILLER_45_169,VSS,Metal1,101.6400,196.0000,0.000000
FILLER_45_152,VSS,Metal1,92.1200,196.0000,0.000000
FILLER_45_150,VSS,Metal1,91.2800,196.0000,0.000000
FILLER_45_146,VSS,Metal1,89.2200,195.6510,0.000000
FILLER_45_138,VSS,Metal1,85.7330,195.5380,0.000000
FILLER_45_104,VSS,Metal1,73.2440,195.4020,0.000000
FILLER_45_70,VSS,Metal1,54.2040,195.4020,0.000000
FILLER_45_36,VSS,Metal1,35.1640,195.4020,0.000000
FILLER_45_2,VSS,Metal1,16.1240,195.4020,0.000000
FILLER_44_325,VSS,Metal1,189.0000,188.1600,0.000008
FILLER_44_317,VSS,Metal1,185.9730,188.6215,0.000008
FILLER_44_313,VSS,Metal1,182.5600,188.1600,0.000008
FILLER_44_305,VSS,Metal1,179.2530,188.6215,0.000008
FILLER_44_273,VSS,Metal1,167.8840,188.7575,0.000008
FILLER_44_259,VSS,Metal1,152.3200,188.1600,0.000008
FILLER_44_255,VSS,Metal1,150.2600,188.5085,0.000008
FILLER_44_247,VSS,Metal1,146.7730,188.6215,0.000008
FILLER_44_241,VSS,Metal1,142.4200,188.5085,0.000009
FILLER_44_177,VSS,Metal1,123.0445,188.7975,0.000009
FILLER_44_171,VSS,Metal1,103.2200,188.5085,0.000009
FILLER_44_163,VSS,Metal1,99.7330,188.6215,0.000009
FILLER_44_133,VSS,Metal1,81.4800,188.1600,0.000011
FILLER_44_131,VSS,Metal1,80.6400,188.1600,0.000011
FILLER_44_123,VSS,Metal1,77.3330,188.6215,0.000011
FILLER_44_107,VSS,Metal1,70.5120,188.7080,0.000011
FILLER_44_103,VSS,Metal1,64.9600,188.1600,0.000011
FILLER_44_99,VSS,Metal1,62.9000,188.5085,0.000011
FILLER_44_91,VSS,Metal1,59.4130,188.6215,0.000011
FILLER_44_85,VSS,Metal1,54.6000,188.1600,0.000011
FILLER_44_53,VSS,Metal1,44.6840,188.7575,0.000011
FILLER_44_18,VSS,Metal1,17.0800,188.1600,0.000011
FILLER_44_2,VSS,Metal1,11.7120,188.7080,0.000011
FILLER_43_325,VSS,Metal1,189.0000,188.1600,0.000008
FILLER_43_321,VSS,Metal1,187.2200,187.8110,0.000008
FILLER_43_290,VSS,Metal1,169.6800,188.1600,0.000008
FILLER_43_282,VSS,Metal1,166.3730,187.6980,0.000008
FILLER_43_250,VSS,Metal1,147.0000,188.1600,0.000008
FILLER_43_242,VSS,Metal1,143.9730,187.6980,0.000009
FILLER_43_212,VSS,Metal1,125.7200,188.1600,0.000009
FILLER_43_209,VSS,Metal1,124.0400,188.1600,0.000009
FILLER_43_207,VSS,Metal1,123.2000,188.1600,0.000009
FILLER_43_199,VSS,Metal1,119.8930,187.6980,0.000009
FILLER_43_154,VSS,Metal1,93.2400,188.1600,0.000009
FILLER_43_150,VSS,Metal1,91.4600,187.8110,0.000009
FILLER_43_142,VSS,Metal1,87.9730,187.6980,0.000009
FILLER_43_136,VSS,Metal1,83.6200,187.8110,0.000009
FILLER_43_128,VSS,Metal1,80.1330,187.6980,0.000011
FILLER_43_82,VSS,Metal1,52.9200,188.1600,0.000011
FILLER_43_80,VSS,Metal1,52.0800,188.1600,0.000011
FILLER_43_72,VSS,Metal1,48.7730,187.6980,0.000011
FILLER_43_65,VSS,Metal1,43.4000,188.1600,0.000011
FILLER_43_57,VSS,Metal1,40.3730,187.6980,0.000011
FILLER_42_325,VSS,Metal1,189.0000,180.3200,0.000013
FILLER_42_317,VSS,Metal1,185.9730,180.7815,0.000013
FILLER_42_307,VSS,Metal1,180.3730,180.7815,0.000013
FILLER_42_298,VSS,Metal1,173.8800,180.3200,0.000013
FILLER_42_296,VSS,Metal1,173.0400,180.3200,0.000013
FILLER_42_280,VSS,Metal1,167.3920,180.8680,0.000014
FILLER_42_263,VSS,Metal1,154.2800,180.3200,0.000016
FILLER_42_247,VSS,Metal1,148.9120,180.8680,0.000017
FILLER_42_244,VSS,Metal1,143.6400,180.3200,0.000018
FILLER_42_220,VSS,Metal1,130.4800,180.3200,0.000019
FILLER_42_216,VSS,Metal1,128.4200,180.6685,0.000020
FILLER_42_208,VSS,Metal1,124.9330,180.7815,0.000020
FILLER_42_192,VSS,Metal1,118.1120,180.8680,0.000020
FILLER_42_145,VSS,Metal1,88.2000,180.3200,0.000021
FILLER_42_141,VSS,Metal1,86.4200,180.6685,0.000022
FILLER_42_104,VSS,Metal1,65.2400,180.3200,0.000023
FILLER_42_96,VSS,Metal1,62.2130,180.7815,0.000023
FILLER_42_78,VSS,Metal1,52.1330,180.7815,0.000023
FILLER_42_37,VSS,Metal1,28.0000,180.3200,0.000022
FILLER_42_34,VSS,Metal1,26.0400,180.3200,0.000022
FILLER_42_32,VSS,Metal1,25.2000,180.3200,0.000022
FILLER_42_22,VSS,Metal1,19.6000,180.3200,0.000022
FILLER_42_18,VSS,Metal1,17.5400,180.6685,0.000022
FILLER_41_325,VSS,Metal1,189.0000,180.3200,0.000013
FILLER_41_323,VSS,Metal1,188.1600,180.3200,0.000013
FILLER_41_319,VSS,Metal1,186.1000,179.9710,0.000013
FILLER_41_311,VSS,Metal1,182.6130,179.8580,0.000013
